name,fsa,city,province,shares,lat,lon,tier,cluster,income,age,nearest_city,dist_to_cityhall_km,time_to_cityhall_min,dist_to_airport_km,time_to_airport_min,airport_distance_category,airport_duration_category,cityhall_distance_category,cityhall_duration_category
Investor 014,V3X,Surrey,BC,209,49.111668,-122.80553,Medium,Top Priority Contacts,89.3,49.1,Vancouver,177.15,98.0,93.41,51.3,Local - up to 10 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Very Close - up to 15 min
Investor 015,V4X,Kelowna,BC,53,49.874719,-119.458464,Medium,Potential Contacts,57.6,44.5,Vancouver,4.85,57.4,20.21,91.0,Local - up to 10 km,Moderate - up to 60 min,Local - up to 10 km,Moderate - up to 60 min
Investor 016,V5X,Richmond,BC,78,49.127134,-123.173625,Top,Do Not Contact,95.9,54.0,Vancouver,66.82,46.3,36.28,106.6,Medium Range - up to 100 km,Close - up to 30 min,Local - up to 10 km,Moderate - up to 60 min
Investor 017,V6X,Victoria,BC,241,48.475513,-123.350677,Medium,Pending Contact Method,79.5,41.2,Vancouver,158.08,93.0,167.08,24.5,Nearby - up to 30 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Close - up to 30 min
Investor 018,V7X,Burnaby,BC,53,49.238497,-122.998534,Top,Pending Contact Method,98.7,51.3,Vancouver,92.85,106.4,85.34,41.6,Distant - More than 300 km,Very Close - up to 15 min,Medium Range - up to 100 km,Close - up to 30 min
Investor 019,V8X,Vancouver,BC,283,49.255156,-123.131797,High,Top Priority Contacts,71.0,38.4,Vancouver,193.58,105.5,172.38,115.4,Medium Range - up to 100 km,Moderate - up to 60 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 020,V9X,Langley,BC,68,49.144503,-122.613603,Top,Pending Contact Method,50.8,53.1,Vancouver,175.92,81.1,165.33,96.0,Nearby - up to 30 km,Moderate - up to 60 min,Medium Range - up to 100 km,Very Close - up to 15 min
Investor 021,V0X,Coquitlam,BC,50,49.293518,-122.769793,Medium,Top Priority Contacts,97.6,54.8,Vancouver,127.38,98.5,147.83,49.1,Medium Range - up to 100 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 022,V1X,Kelowna,BC,591,49.886942,-119.493563,Medium,High-Potential Contacts,66.2,41.9,Vancouver,117.14,118.9,83.3,74.5,Distant - More than 300 km,Very Long Trip - More than 120 min,Medium Range - up to 100 km,Moderate - up to 60 min
Investor 023,V2X,Surrey,BC,138,49.152991,-122.751943,Low,Top Priority Contacts,101.5,45.4,Vancouver,16.55,105.6,177.69,12.5,Distant - More than 300 km,Close - up to 30 min,Medium Range - up to 100 km,Moderate - up to 60 min
Investor 024,V3X,Surrey,BC,322,49.064185,-122.821055,Top,Potential Contacts,114.4,40.5,Vancouver,18.94,83.5,21.07,31.6,Medium Range - up to 100 km,Moderate - up to 60 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 025,V4X,Burnaby,BC,174,49.259461,-122.96717,Low,Potential Contacts,71.1,51.1,Vancouver,58.11,44.0,192.27,60.3,Distant - More than 300 km,Very Close - up to 15 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 026,V5X,Langley,BC,222,49.09283,-122.636852,Top,Top Priority Contacts,82.2,43.4,Vancouver,132.52,86.0,8.8,68.3,Distant - More than 300 km,Moderate - up to 60 min,Nearby - up to 30 km,Very Close - up to 15 min
Investor 027,V6X,Burnaby,BC,165,49.199732,-123.011814,Low,Top Priority Contacts,125.5,50.3,Vancouver,197.06,62.7,89.19,32.2,Nearby - up to 30 km,Very Close - up to 15 min,Nearby - up to 30 km,Moderate - up to 60 min
Investor 028,V7X,Coquitlam,BC,565,49.317193,-122.801677,Low,Do Not Contact,88.9,44.0,Vancouver,74.37,94.8,159.72,75.1,Local - up to 10 km,Close - up to 30 min,Distant - More than 300 km,Moderate - up to 60 min
Investor 029,V8X,Coquitlam,BC,81,49.320079,-122.810568,Low,Top Priority Contacts,133.3,69.2,Vancouver,145.05,110.8,122.04,98.2,Nearby - up to 30 km,Moderate - up to 60 min,Distant - More than 300 km,Moderate - up to 60 min
Investor 030,V9X,Langley,BC,507,49.107744,-122.703805,High,Top Priority Contacts,81.1,60.6,Vancouver,199.36,53.3,51.99,66.5,Local - up to 10 km,Close - up to 30 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 031,V0X,Victoria,BC,197,48.407365,-123.327585,Top,Potential Contacts,93.1,43.0,Vancouver,161.03,28.1,85.46,83.0,Medium Range - up to 100 km,Very Long Trip - More than 120 min,Nearby - up to 30 km,Moderate - up to 60 min
Investor 032,V1X,Nanaimo,BC,50,49.184716,-123.964985,High,Top Priority Contacts,75.8,44.6,Vancouver,22.43,34.3,76.51,79.7,Nearby - up to 30 km,Very Close - up to 15 min,Distant - More than 300 km,Close - up to 30 min
Investor 033,V2X,Nanaimo,BC,87,49.209845,-123.961418,Top,Pending Contact Method,65.6,42.7,Vancouver,99.14,93.3,131.73,81.0,Medium Range - up to 100 km,Moderate - up to 60 min,Local - up to 10 km,Moderate - up to 60 min
Investor 034,V3X,Langley,BC,169,49.068666,-122.679803,High,Pending Contact Method,103.6,52.9,Vancouver,110.07,46.7,170.48,79.9,Nearby - up to 30 km,Moderate - up to 60 min,Nearby - up to 30 km,Very Close - up to 15 min
Investor 035,V4X,Richmond,BC,131,49.144981,-123.161626,High,High-Potential Contacts,88.0,60.3,Vancouver,135.29,28.9,178.56,111.9,Distant - More than 300 km,Very Close - up to 15 min,Medium Range - up to 100 km,Moderate - up to 60 min
Investor 036,V5X,Nanaimo,BC,82,49.142109,-123.928259,High,Do Not Contact,82.1,51.3,Vancouver,77.1,104.6,86.79,81.7,Local - up to 10 km,Very Close - up to 15 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 037,V6X,Nanaimo,BC,118,49.211109,-123.945558,Low,Low-Potential Contacts,117.7,46.3,Vancouver,149.42,47.5,57.04,70.4,Local - up to 10 km,Close - up to 30 min,Medium Range - up to 100 km,Very Close - up to 15 min
Investor 038,V7X,Nanaimo,BC,163,49.176753,-123.89763,Low,Pending Contact Method,121.3,47.3,Vancouver,168.64,12.6,1.95,27.7,Medium Range - up to 100 km,Close - up to 30 min,Nearby - up to 30 km,Close - up to 30 min
Investor 039,V8X,Kelowna,BC,67,49.8708,-119.463372,Top,Top Priority Contacts,92.6,46.3,Vancouver,8.09,38.8,134.18,55.6,Nearby - up to 30 km,Moderate - up to 60 min,Nearby - up to 30 km,Close - up to 30 min
Investor 040,V9X,Coquitlam,BC,138,49.332999,-122.802771,High,Potential Contacts,103.1,43.1,Vancouver,3.29,117.4,177.36,52.7,Medium Range - up to 100 km,Very Close - up to 15 min,Medium Range - up to 100 km,Close - up to 30 min
Investor 041,V0X,Victoria,BC,98,48.423795,-123.375132,Medium,High-Potential Contacts,88.4,47.2,Vancouver,42.69,33.2,56.53,118.6,Medium Range - up to 100 km,Very Close - up to 15 min,Nearby - up to 30 km,Close - up to 30 min
Investor 042,V1X,Burnaby,BC,532,49.268327,-122.943092,Medium,Do Not Contact,93.4,54.4,Vancouver,30.81,112.8,18.93,116.2,Local - up to 10 km,Very Close - up to 15 min,Local - up to 10 km,Very Close - up to 15 min
Investor 043,V2X,Abbotsford,BC,27,49.054329,-122.292579,Medium,Pending Contact Method,88.3,47.9,Vancouver,141.43,53.4,156.62,103.2,Nearby - up to 30 km,Very Long Trip - More than 120 min,Local - up to 10 km,Very Long Trip - More than 120 min
Investor 044,V3X,Victoria,BC,191,48.398146,-123.374548,Medium,Pending Contact Method,93.1,61.1,Vancouver,73.85,53.9,74.21,12.8,Medium Range - up to 100 km,Very Long Trip - More than 120 min,Nearby - up to 30 km,Very Long Trip - More than 120 min
Investor 045,V4X,Langley,BC,30,49.113853,-122.695071,Low,Top Priority Contacts,101.9,44.9,Vancouver,113.41,93.1,139.13,67.3,Local - up to 10 km,Close - up to 30 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 046,V5X,Nanaimo,BC,275,49.137699,-123.963852,Low,High-Potential Contacts,83.7,50.4,Vancouver,46.88,68.7,71.79,85.7,Medium Range - up to 100 km,Close - up to 30 min,Medium Range - up to 100 km,Moderate - up to 60 min
Investor 047,V6X,Coquitlam,BC,106,49.302151,-122.790932,Low,High-Potential Contacts,120.8,64.1,Vancouver,87.32,10.5,157.73,109.3,Medium Range - up to 100 km,Very Close - up to 15 min,Medium Range - up to 100 km,Close - up to 30 min
Investor 048,V7X,Nanaimo,BC,128,49.205298,-123.898655,Top,Potential Contacts,65.7,58.4,Vancouver,77.47,83.0,151.92,104.3,Distant - More than 300 km,Close - up to 30 min,Nearby - up to 30 km,Very Close - up to 15 min
Investor 049,V8X,Vancouver,BC,339,49.322044,-123.09745,Medium,Low-Potential Contacts,102.0,43.5,Vancouver,60.09,105.3,73.28,30.7,Distant - More than 300 km,Close - up to 30 min,Nearby - up to 30 km,Moderate - up to 60 min
Investor 050,V9X,Abbotsford,BC,86,49.031511,-122.29704,Medium,High-Potential Contacts,89.5,42.7,Vancouver,118.54,33.5,64.29,42.7,Nearby - up to 30 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 051,V0X,Langley,BC,67,49.146513,-122.685687,Low,Top Priority Contacts,50.4,54.9,Vancouver,87.41,39.2,21.54,52.3,Local - up to 10 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Close - up to 30 min
Investor 052,V1X,Richmond,BC,106,49.136446,-123.135953,Medium,Top Priority Contacts,102.0,51.6,Vancouver,162.33,76.0,189.28,79.8,Local - up to 10 km,Moderate - up to 60 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 053,V2X,Langley,BC,119,49.095581,-122.653187,Top,Top Priority Contacts,81.0,55.7,Vancouver,15.55,37.8,100.42,44.3,Distant - More than 300 km,Close - up to 30 min,Medium Range - up to 100 km,Moderate - up to 60 min
Investor 054,V3X,Kelowna,BC,126,49.872477,-119.509414,Medium,Top Priority Contacts,80.0,39.2,Vancouver,183.72,48.4,19.4,12.5,Distant - More than 300 km,Very Close - up to 15 min,Nearby - up to 30 km,Moderate - up to 60 min
Investor 055,V4X,Victoria,BC,618,48.430199,-123.347475,Medium,Top Priority Contacts,88.1,49.2,Vancouver,192.16,19.3,58.23,70.1,Distant - More than 300 km,Very Long Trip - More than 120 min,Medium Range - up to 100 km,Very Close - up to 15 min
Investor 056,V5X,Burnaby,BC,106,49.272156,-123.025426,Top,Low-Potential Contacts,85.8,41.7,Vancouver,174.21,41.5,24.54,63.9,Medium Range - up to 100 km,Moderate - up to 60 min,Medium Range - up to 100 km,Close - up to 30 min
Investor 057,V6X,Richmond,BC,53,49.198817,-123.127165,Low,Do Not Contact,48.7,58.0,Vancouver,105.89,41.7,8.44,119.0,Local - up to 10 km,Very Close - up to 15 min,Local - up to 10 km,Close - up to 30 min
Investor 058,V7X,Coquitlam,BC,170,49.329468,-122.84039,Low,Do Not Contact,65.5,56.3,Vancouver,11.92,117.0,33.51,114.8,Distant - More than 300 km,Close - up to 30 min,Nearby - up to 30 km,Moderate - up to 60 min
Investor 059,V8X,Abbotsford,BC,218,49.002301,-122.344744,Medium,High-Potential Contacts,43.9,55.4,Vancouver,144.51,68.8,120.24,25.8,Distant - More than 300 km,Moderate - up to 60 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 060,V9X,Abbotsford,BC,205,49.006716,-122.294795,Medium,Low-Potential Contacts,47.7,43.4,Vancouver,185.49,92.2,171.16,117.5,Local - up to 10 km,Moderate - up to 60 min,Medium Range - up to 100 km,Very Close - up to 15 min
Investor 061,V0X,Kelowna,BC,126,49.905451,-119.45727,Medium,Pending Contact Method,79.8,46.2,Vancouver,137.11,36.9,25.86,31.5,Local - up to 10 km,Very Long Trip - More than 120 min,Medium Range - up to 100 km,Close - up to 30 min
Investor 062,V1X,Vancouver,BC,89,49.267738,-123.074776,Low,High-Potential Contacts,81.9,45.8,Vancouver,113.93,48.6,32.61,51.1,Distant - More than 300 km,Close - up to 30 min,Nearby - up to 30 km,Very Close - up to 15 min
Investor 063,V2X,Abbotsford,BC,244,49.05862,-122.351617,Top,High-Potential Contacts,73.5,42.6,Vancouver,13.17,87.2,127.98,83.2,Local - up to 10 km,Very Long Trip - More than 120 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 064,V3X,Burnaby,BC,127,49.219151,-122.948898,Low,Pending Contact Method,124.6,65.4,Vancouver,141.2,89.9,28.52,89.5,Nearby - up to 30 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Very Close - up to 15 min
Investor 065,V4X,Burnaby,BC,46,49.211642,-122.990607,High,Do Not Contact,73.9,37.8,Vancouver,130.83,51.8,49.1,16.3,Medium Range - up to 100 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Moderate - up to 60 min
Investor 066,V5X,Burnaby,BC,141,49.270843,-122.969584,Low,Do Not Contact,128.8,37.8,Vancouver,92.83,20.0,145.16,117.3,Medium Range - up to 100 km,Moderate - up to 60 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 067,V6X,Richmond,BC,170,49.167778,-123.17874,High,Potential Contacts,146.7,36.3,Vancouver,68.42,52.0,110.31,72.5,Medium Range - up to 100 km,Close - up to 30 min,Medium Range - up to 100 km,Moderate - up to 60 min
Investor 068,V7X,Richmond,BC,237,49.184402,-123.169166,Low,Potential Contacts,76.4,54.5,Vancouver,85.12,76.2,30.12,11.7,Distant - More than 300 km,Moderate - up to 60 min,Medium Range - up to 100 km,Moderate - up to 60 min
Investor 069,V8X,Surrey,BC,168,49.062868,-122.776717,Low,Low-Potential Contacts,86.8,49.5,Vancouver,166.2,72.5,114.91,36.7,Medium Range - up to 100 km,Close - up to 30 min,Medium Range - up to 100 km,Very Close - up to 15 min
Investor 070,V9X,Langley,BC,77,49.086707,-122.702245,Top,Potential Contacts,119.4,35.7,Vancouver,126.54,32.0,92.42,41.8,Distant - More than 300 km,Moderate - up to 60 min,Distant - More than 300 km,Close - up to 30 min
Investor 071,V0X,Richmond,BC,95,49.210593,-123.17203,Medium,Do Not Contact,50.4,45.6,Vancouver,157.96,107.4,139.1,59.1,Medium Range - up to 100 km,Close - up to 30 min,Local - up to 10 km,Close - up to 30 min
Investor 072,V1X,Richmond,BC,27,49.124545,-123.147039,Top,Pending Contact Method,70.2,55.1,Vancouver,189.96,32.3,111.88,27.1,Nearby - up to 30 km,Close - up to 30 min,Local - up to 10 km,Very Close - up to 15 min
Investor 073,V2X,Kelowna,BC,273,49.925103,-119.495422,Medium,Pending Contact Method,135.7,42.1,Vancouver,146.79,117.4,1.12,28.7,Distant - More than 300 km,Very Close - up to 15 min,Nearby - up to 30 km,Very Close - up to 15 min
Investor 074,V3X,Victoria,BC,177,48.414253,-123.401073,High,Low-Potential Contacts,120.2,45.6,Vancouver,151.11,10.2,161.49,36.9,Distant - More than 300 km,Very Long Trip - More than 120 min,Nearby - up to 30 km,Moderate - up to 60 min
Investor 075,V4X,Coquitlam,BC,106,49.26231,-122.801742,Medium,Pending Contact Method,133.6,56.2,Vancouver,115.51,99.4,15.6,25.0,Local - up to 10 km,Very Close - up to 15 min,Nearby - up to 30 km,Very Close - up to 15 min
Investor 076,V5X,Burnaby,BC,199,49.226065,-122.957204,Low,High-Potential Contacts,127.8,54.5,Vancouver,13.72,97.4,12.81,55.4,Local - up to 10 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Close - up to 30 min
Investor 077,V6X,Langley,BC,109,49.055175,-122.662343,Top,Top Priority Contacts,98.2,52.5,Vancouver,117.81,55.5,108.33,68.7,Medium Range - up to 100 km,Very Close - up to 15 min,Medium Range - up to 100 km,Moderate - up to 60 min
Investor 078,V7X,Nanaimo,BC,105,49.152206,-123.944057,Low,High-Potential Contacts,120.0,50.9,Vancouver,186.67,31.7,103.57,117.9,Distant - More than 300 km,Moderate - up to 60 min,Nearby - up to 30 km,Very Close - up to 15 min
Investor 079,V8X,Coquitlam,BC,120,49.292365,-122.759747,High,Pending Contact Method,132.6,45.5,Vancouver,167.2,64.3,170.43,16.9,Distant - More than 300 km,Moderate - up to 60 min,Nearby - up to 30 km,Very Close - up to 15 min
Investor 080,V9X,Coquitlam,BC,95,49.317305,-122.766097,Medium,Do Not Contact,99.7,33.2,Vancouver,195.67,97.2,122.71,72.4,Nearby - up to 30 km,Close - up to 30 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 081,V0X,Victoria,BC,495,48.404532,-123.325902,Medium,Top Priority Contacts,106.5,48.1,Vancouver,187.83,10.7,29.66,63.3,Distant - More than 300 km,Very Close - up to 15 min,Nearby - up to 30 km,Close - up to 30 min
Investor 082,V1X,Nanaimo,BC,169,49.154276,-123.940479,Medium,High-Potential Contacts,108.6,38.9,Vancouver,165.77,21.9,187.13,75.6,Local - up to 10 km,Moderate - up to 60 min,Distant - More than 300 km,Close - up to 30 min
Investor 083,V2X,Nanaimo,BC,308,49.196204,-123.952842,Medium,Potential Contacts,71.3,27.8,Vancouver,184.46,92.7,85.73,108.2,Medium Range - up to 100 km,Very Close - up to 15 min,Medium Range - up to 100 km,Moderate - up to 60 min
Investor 084,V3X,Richmond,BC,203,49.141746,-123.112451,Top,Pending Contact Method,93.1,50.2,Vancouver,59.62,20.4,12.41,24.0,Local - up to 10 km,Very Long Trip - More than 120 min,Medium Range - up to 100 km,Close - up to 30 min
Investor 085,V4X,Kelowna,BC,103,49.929334,-119.455282,Medium,Pending Contact Method,85.2,47.7,Vancouver,16.68,106.6,132.56,102.2,Local - up to 10 km,Moderate - up to 60 min,Medium Range - up to 100 km,Close - up to 30 min
Investor 086,V5X,Richmond,BC,75,49.209347,-123.116219,High,Low-Potential Contacts,117.2,61.6,Vancouver,129.16,22.8,61.67,13.6,Nearby - up to 30 km,Very Long Trip - More than 120 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 087,V6X,Victoria,BC,98,48.383923,-123.329894,Low,Do Not Contact,106.0,50.4,Vancouver,128.92,58.8,169.35,21.5,Nearby - up to 30 km,Close - up to 30 min,Local - up to 10 km,Very Long Trip - More than 120 min
Investor 088,V7X,Victoria,BC,158,48.450418,-123.366537,Medium,Top Priority Contacts,81.1,44.7,Vancouver,165.12,79.1,151.35,16.3,Local - up to 10 km,Very Close - up to 15 min,Nearby - up to 30 km,Close - up to 30 min
Investor 089,V8X,Burnaby,BC,174,49.20246,-122.940816,Medium,Do Not Contact,77.5,63.1,Vancouver,32.23,115.9,60.58,28.6,Distant - More than 300 km,Very Close - up to 15 min,Nearby - up to 30 km,Very Long Trip - More than 120 min
Investor 090,V9X,Surrey,BC,85,49.070912,-122.80906,Low,Top Priority Contacts,95.1,50.4,Vancouver,105.54,41.6,156.94,86.3,Distant - More than 300 km,Close - up to 30 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 091,V0X,Abbotsford,BC,236,49.006841,-122.340544,Top,Do Not Contact,99.6,48.3,Vancouver,156.25,27.4,68.49,79.8,Distant - More than 300 km,Moderate - up to 60 min,Local - up to 10 km,Very Long Trip - More than 120 min
Investor 092,V1X,Langley,BC,74,49.10193,-122.698818,Top,Pending Contact Method,102.3,42.2,Vancouver,32.83,86.8,89.02,46.2,Nearby - up to 30 km,Very Close - up to 15 min,Local - up to 10 km,Very Long Trip - More than 120 min
Investor 093,V2X,Coquitlam,BC,202,49.244073,-122.826191,Top,Do Not Contact,72.4,58.5,Vancouver,169.25,52.2,109.14,83.7,Local - up to 10 km,Very Close - up to 15 min,Distant - More than 300 km,Very Close - up to 15 min
Investor 094,V3X,Langley,BC,50,49.112675,-122.638953,Low,High-Potential Contacts,75.5,33.1,Vancouver,63.85,13.0,155.19,36.8,Nearby - up to 30 km,Very Long Trip - More than 120 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 095,V4X,Nanaimo,BC,149,49.193166,-123.941672,Low,Low-Potential Contacts,113.8,40.9,Vancouver,74.6,74.9,68.8,21.3,Local - up to 10 km,Close - up to 30 min,Medium Range - up to 100 km,Very Close - up to 15 min
Investor 096,V5X,Burnaby,BC,277,49.250739,-122.959201,Low,Do Not Contact,92.9,43.5,Vancouver,48.22,114.3,43.5,88.0,Nearby - up to 30 km,Close - up to 30 min,Local - up to 10 km,Very Close - up to 15 min
Investor 097,V6X,Langley,BC,150,49.103904,-122.659795,Low,Pending Contact Method,97.8,45.3,Vancouver,84.7,46.2,126.64,59.4,Distant - More than 300 km,Very Long Trip - More than 120 min,Nearby - up to 30 km,Close - up to 30 min
Investor 098,V7X,Nanaimo,BC,94,49.163559,-123.934101,Medium,High-Potential Contacts,96.6,40.4,Vancouver,48.84,79.6,87.42,25.1,Medium Range - up to 100 km,Close - up to 30 min,Local - up to 10 km,Very Close - up to 15 min
Investor 099,V8X,Kelowna,BC,472,49.916461,-119.52127,Top,High-Potential Contacts,21.8,57.3,Vancouver,88.71,83.1,1.5,93.8,Nearby - up to 30 km,Very Close - up to 15 min,Local - up to 10 km,Very Close - up to 15 min
Investor 100,V9X,Nanaimo,BC,213,49.149111,-123.903144,Top,High-Potential Contacts,100.4,45.8,Vancouver,163.53,82.8,133.83,55.4,Local - up to 10 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Close - up to 30 min
Investor 101,V0X,Victoria,BC,292,48.458946,-123.328069,High,Top Priority Contacts,114.9,45.7,Vancouver,21.47,54.8,75.48,64.5,Nearby - up to 30 km,Moderate - up to 60 min,Nearby - up to 30 km,Moderate - up to 60 min
Investor 102,V1X,Abbotsford,BC,422,49.099745,-122.262073,Medium,High-Potential Contacts,74.6,39.8,Vancouver,104.82,58.6,145.84,79.9,Medium Range - up to 100 km,Close - up to 30 min,Nearby - up to 30 km,Very Long Trip - More than 120 min
Investor 103,V2X,Langley,BC,268,49.125941,-122.684978,Medium,Top Priority Contacts,120.1,40.1,Vancouver,77.41,64.2,86.28,65.0,Nearby - up to 30 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Very Close - up to 15 min
Investor 104,V3X,Coquitlam,BC,116,49.244448,-122.745308,Low,Do Not Contact,108.5,40.2,Vancouver,178.37,35.6,165.56,59.5,Medium Range - up to 100 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Close - up to 30 min
Investor 105,V4X,Langley,BC,67,49.096141,-122.664585,Low,High-Potential Contacts,57.6,47.5,Vancouver,66.45,13.1,170.23,19.8,Distant - More than 300 km,Close - up to 30 min,Nearby - up to 30 km,Moderate - up to 60 min
Investor 106,V5X,Burnaby,BC,94,49.265649,-122.94738,Low,Top Priority Contacts,101.0,41.9,Vancouver,99.67,51.9,198.91,96.8,Distant - More than 300 km,Very Long Trip - More than 120 min,Nearby - up to 30 km,Very Long Trip - More than 120 min
Investor 107,V6X,Richmond,BC,113,49.191144,-123.173241,Medium,High-Potential Contacts,83.4,47.4,Vancouver,100.96,16.3,6.17,39.2,Medium Range - up to 100 km,Very Close - up to 15 min,Distant - More than 300 km,Moderate - up to 60 min
Investor 108,V7X,Surrey,BC,346,49.152019,-122.806038,High,Top Priority Contacts,86.8,49.9,Vancouver,181.75,85.3,155.57,51.7,Medium Range - up to 100 km,Very Long Trip - More than 120 min,Local - up to 10 km,Very Close - up to 15 min
Investor 109,V8X,Richmond,BC,85,49.186352,-123.152716,High,Low-Potential Contacts,21.5,46.6,Vancouver,105.52,37.5,138.53,49.8,Nearby - up to 30 km,Moderate - up to 60 min,Medium Range - up to 100 km,Very Close - up to 15 min
Investor 110,V9X,Richmond,BC,62,49.195077,-123.111684,High,Pending Contact Method,74.4,49.5,Vancouver,183.14,66.3,197.06,76.0,Local - up to 10 km,Very Long Trip - More than 120 min,Nearby - up to 30 km,Close - up to 30 min
Investor 111,V0X,Kelowna,BC,131,49.916,-119.51928,High,Do Not Contact,65.7,39.1,Vancouver,47.41,92.5,192.83,76.6,Medium Range - up to 100 km,Moderate - up to 60 min,Distant - More than 300 km,Very Long Trip - More than 120 min
Investor 112,V1X,Victoria,BC,115,48.464818,-123.34233,Medium,Potential Contacts,69.5,49.1,Vancouver,9.99,119.2,123.69,109.8,Medium Range - up to 100 km,Moderate - up to 60 min,Distant - More than 300 km,Very Long Trip - More than 120 min
